ACCC_Sample_ID	prediction	d.CMS1	d.CMS2	d.CMS3	d.CMS4	p.value	FDR
CRC_ACCC_01	CMS3	0.7375386460761881	0.679563227538175	0.6674209317293833	0.8907070219590921	0.003996003996003996	0.00486470051687443
CRC_ACCC_02	CMS4	0.6743527732267035	0.7392931832278539	0.7764760911701755	0.39865462491407627	0.001	0.0012727272727272728
CRC_ACCC_03	CMS2	0.7246666264071782	0.6032216774095946	0.6793312111936857	0.7062046042397315	0.001	0.0012727272727272728
CRC_ACCC_04	CMS2	0.779420729139999	0.6143906788996387	0.6432554136154216	0.8123649671997953	0.001	0.0012727272727272728
CRC_ACCC_05	CMS3	0.722165303351869	0.5953850086305582	0.5624261484662988	0.7532460719958458	0.001	0.0012727272727272728
CRC_ACCC_06	CMS3	0.6570757000307484	0.6328242522241364	0.5477892825216183	0.7291277782361837	0.001	0.0012727272727272728
CRC_ACCC_07	CMS3	0.6319258681707777	0.6404350733061289	0.605773627395402	0.6882339078656666	0.001	0.0012727272727272728
CRC_ACCC_08	CMS3	0.741561217953097	0.6860246445096643	0.5414924066472196	0.8587881915441028	0.001	0.0012727272727272728
CRC_ACCC_09	CMS1	0.5429307250220196	0.8392195560626777	0.7942048622694584	0.7828166152697299	0.001	0.0012727272727272728
CRC_ACCC_11	CMS2	0.6872865764164376	0.6871959359305924	0.7090432591716193	0.8825399736601848	0.04395604395604396	0.045584045584045586
CRC_ACCC_12	CMS3	0.7624361741787986	0.6583058814604787	0.5980646525993649	0.8713693488576986	0.001	0.0012727272727272728
CRC_ACCC_13	CMS3	0.7409339340337187	0.5971391010335128	0.5774444996607208	0.6960270622813061	0.001	0.0012727272727272728
CRC_ACCC_14	CMS4	0.6749379508879766	0.7046636955622848	0.6719423013020209	0.3553780014369361	0.001	0.0012727272727272728
CRC_ACCC_15	CMS3	0.6409100854518137	0.7384940362489297	0.5784632793393025	0.8498792860752361	0.001	0.0012727272727272728
CRC_ACCC_16	CMS4	0.6454671163062041	0.6428787339975999	0.6771722974104756	0.469547426542932	0.001	0.0012727272727272728
CRC_ACCC_17	CMS1	0.5488526211371755	0.7442689258055363	0.7806608505329732	0.7639152846030332	0.001	0.0012727272727272728
CRC_ACCC_18	NA	0.7895764319724158	0.6951064368488523	0.7977001043835383	0.8023055960726001	0.8491508491508492	0.8491508491508492
CRC_ACCC_19	CMS2	0.7062686517207766	0.5552871276919341	0.771804263236575	0.6998167812044919	0.001	0.0012727272727272728
CRC_ACCC_20	CMS2	0.7768933214235761	0.6265101830500828	0.749825204935146	0.7167132609488365	0.001	0.0012727272727272728
CRC_ACCC_21	CMS3	0.6910090534303988	0.788481499190716	0.6737623164833131	0.8137534526374749	0.01998001998001998	0.02151694459386767
CRC_ACCC_22	CMS3	0.7422521845613552	0.7052412879087134	0.6475047813175122	0.6755133074635132	0.004995004995004995	0.005827505827505828
CRC_ACCC_23	CMS1	0.6632416800016459	0.691736126833864	0.7349253917469463	0.706065722338265	0.005994005994005994	0.006713286713286714
CRC_ACCC_24	CMS1	0.5843087760098159	0.810700894606503	0.6298174643400336	0.7741697515973925	0.001	0.0012727272727272728
CRC_ACCC_25	CMS4	0.6927580063513543	0.6891258924740431	0.7400640309626716	0.35766151142003944	0.001	0.0012727272727272728
CRC_ACCC_26	CMS4	0.7319012980055937	0.7877940018846367	0.7698232489643912	0.44246490017433554	0.001	0.0012727272727272728
CRC_ACCC_27	CMS2	0.8331990109926783	0.5872712560401993	0.7281065004300207	0.7319055738525659	0.001	0.0012727272727272728
CRC_ACCC_28	CMS2	0.7626532757409261	0.6101250690954083	0.704888353836647	0.8103057603837495	0.001	0.0012727272727272728
CRC_ACCC_29	CMS4	0.775413592936637	0.8085790702797959	0.7889903490438219	0.5514009468929849	0.001	0.0012727272727272728
